ContensCode,alder_int,Ettårig alder,5-årige aldersgrupper,10-årige aldersgrupper,Funksjonell alder 1,15-17 år,16-18 år,Tredelt
000,0,0 år,0-4 år,0-9 år,0 år,,,0-19 år
001,1,1 år,0-4 år,0-9 år,1-5 år,,,0-19 år
002,2,2 år,0-4 år,0-9 år,1-5 år,,,0-19 år
003,3,3 år,0-4 år,0-9 år,1-5 år,,,0-19 år
004,4,4 år,0-4 år,0-9 år,1-5 år,,,0-19 år
005,5,5 år,5-9 år,0-9 år,1-5 år,,,0-19 år
006,6,6 år,5-9 år,0-9 år,6-12 år,,,0-19 år
007,7,7 år,5-9 år,0-9 år,6-12 år,,,0-19 år
008,8,8 år,5-9 år,0-9 år,6-12 år,,,0-19 år
009,9,9 år,5-9 år,0-9 år,6-12 år,,,0-19 år
010,10,10 år,10-14 år,10-19 år,6-12 år,,,0-19 år
011,11,11 år,10-14 år,10-19 år,6-12 år,,,0-19 år
012,12,12 år,10-14 år,10-19 år,6-12 år,,,0-19 år
013,13,13 år,10-14 år,10-19 år,13-15 år,,,0-19 år
014,14,14 år,10-14 år,10-19 år,13-15 år,,,0-19 år
015,15,15 år,15-19 år,10-19 år,13-15 år,15 år,,0-19 år
016,16,16 år,15-19 år,10-19 år,16-18 år,16 år,16 år,0-19 år
017,17,17 år,15-19 år,10-19 år,16-18 år,17 år,17 år,0-19 år
018,18,18 år,15-19 år,10-19 år,16-18 år,,18 år,0-19 år
019,19,19 år,15-19 år,10-19 år,19-24 år,,,0-19 år
020,20,20 år,20-24 år,20-29 år,19-24 år,,,20-64 år
021,21,21 år,20-24 år,20-29 år,19-24 år,,,20-64 år
022,22,22 år,20-24 år,20-29 år,19-24 år,,,20-64 år
023,23,23 år,20-24 år,20-29 år,19-24 år,,,20-64 år
024,24,24 år,20-24 år,20-29 år,19-24 år,,,20-64 år
025,25,25 år,25-29 år,20-29 år,25-39 år,,,20-64 år
026,26,26 år,25-29 år,20-29 år,25-39 år,,,20-64 år
027,27,27 år,25-29 år,20-29 år,25-39 år,,,20-64 år
028,28,28 år,25-29 år,20-29 år,25-39 år,,,20-64 år
029,29,29 år,25-29 år,20-29 år,25-39 år,,,20-64 år
030,30,30 år,30-34 år,30-39 år,25-39 år,,,20-64 år
031,31,31 år,30-34 år,30-39 år,25-39 år,,,20-64 år
032,32,32 år,30-34 år,30-39 år,25-39 år,,,20-64 år
033,33,33 år,30-34 år,30-39 år,25-39 år,,,20-64 år
034,34,34 år,30-34 år,30-39 år,25-39 år,,,20-64 år
035,35,35 år,35-39 år,30-39 år,25-39 år,,,20-64 år
036,36,36 år,35-39 år,30-39 år,25-39 år,,,20-64 år
037,37,37 år,35-39 år,30-39 år,25-39 år,,,20-64 år
038,38,38 år,35-39 år,30-39 år,25-39 år,,,20-64 år
039,39,39 år,35-39 år,30-39 år,25-39 år,,,20-64 år
040,40,40 år,40-44 år,40-49 år,40-54 år,,,20-64 år
041,41,41 år,40-44 år,40-49 år,40-54 år,,,20-64 år
042,42,42 år,40-44 år,40-49 år,40-54 år,,,20-64 år
043,43,43 år,40-44 år,40-49 år,40-54 år,,,20-64 år
044,44,44 år,40-44 år,40-49 år,40-54 år,,,20-64 år
045,45,45 år,45-49 år,40-49 år,40-54 år,,,20-64 år
046,46,46 år,45-49 år,40-49 år,40-54 år,,,20-64 år
047,47,47 år,45-49 år,40-49 år,40-54 år,,,20-64 år
048,48,48 år,45-49 år,40-49 år,40-54 år,,,20-64 år
049,49,49 år,45-49 år,40-49 år,40-54 år,,,20-64 år
050,50,50 år,50-54 år,50-59 år,40-54 år,,,20-64 år
051,51,51 år,50-54 år,50-59 år,40-54 år,,,20-64 år
052,52,52 år,50-54 år,50-59 år,40-54 år,,,20-64 år
053,53,53 år,50-54 år,50-59 år,40-54 år,,,20-64 år
054,54,54 år,50-54 år,50-59 år,40-54 år,,,20-64 år
055,55,55 år,55-59 år,50-59 år,55-66 år,,,20-64 år
056,56,56 år,55-59 år,50-59 år,55-66 år,,,20-64 år
057,57,57 år,55-59 år,50-59 år,55-66 år,,,20-64 år
058,58,58 år,55-59 år,50-59 år,55-66 år,,,20-64 år
059,59,59 år,55-59 år,50-59 år,55-66 år,,,20-64 år
060,60,60 år,60-64 år,60-69 år,55-66 år,,,20-64 år
061,61,61 år,60-64 år,60-69 år,55-66 år,,,20-64 år
062,62,62 år,60-64 år,60-69 år,55-66 år,,,20-64 år
063,63,63 år,60-64 år,60-69 år,55-66 år,,,20-64 år
064,64,64 år,60-64 år,60-69 år,55-66 år,,,20-64 år
065,65,65 år,65-69 år,60-69 år,55-66 år,,,65 år og eldre
066,66,66 år,65-69 år,60-69 år,55-66 år,,,65 år og eldre
067,67,67 år,65-69 år,60-69 år,67-79 år,,,65 år og eldre
068,68,68 år,65-69 år,60-69 år,67-79 år,,,65 år og eldre
069,69,69 år,65-69 år,60-69 år,67-79 år,,,65 år og eldre
070,70,70 år,70-74 år,70-79 år,67-79 år,,,65 år og eldre
071,71,71 år,70-74 år,70-79 år,67-79 år,,,65 år og eldre
072,72,72 år,70-74 år,70-79 år,67-79 år,,,65 år og eldre
073,73,73 år,70-74 år,70-79 år,67-79 år,,,65 år og eldre
074,74,74 år,70-74 år,70-79 år,67-79 år,,,65 år og eldre
075,75,75 år,75-79 år,70-79 år,67-79 år,,,65 år og eldre
076,76,76 år,75-79 år,70-79 år,67-79 år,,,65 år og eldre
077,77,77 år,75-79 år,70-79 år,67-79 år,,,65 år og eldre
078,78,78 år,75-79 år,70-79 år,67-79 år,,,65 år og eldre
079,79,79 år,75-79 år,70-79 år,67-79 år,,,65 år og eldre
080,80,80 år,80-84 år,80-89 år,80 år og eldre,,,65 år og eldre
081,81,81 år,80-84 år,80-89 år,80 år og eldre,,,65 år og eldre
