Land_kode;Land;Verdensregion_kode;Verdensregion;Landgruppe_kode;Landgruppe
000;Norge;G00;Norge;G0;Norge
101;Danmark;G11;Norden utenom Norge;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
102;Grønland;G11;Norden utenom Norge;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
103;Finland;G11;Norden utenom Norge;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
104;Færøyene;G11;Norden utenom Norge;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
105;Island;G11;Norden utenom Norge;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
106;Sverige;G11;Norden utenom Norge;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
111;Albania;G21;Europa utenom EU/EFTA/Storbritannia;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
112;Belgia;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
113;Bulgaria;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
114;Andorra;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
115;Estland;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
117;Frankrike;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
118;Gibraltar;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
119;Hellas;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
120;Belarus;G21;Europa utenom EU/EFTA/Storbritannia;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
121;Irland;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
122;Kroatia;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
123;Italia;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
124;Latvia;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
126;Malta;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
127;Nederland;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
128;Liechtenstein;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
129;Luxembourg;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
130;Monaco;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
131;Polen;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
132;Portugal;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
133;Romania;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
134;San Marino;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
136;Litauen;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
137;Spania;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
138;Moldova;G21;Europa utenom EU/EFTA/Storbritannia;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
139;Storbritannia;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
140;Russland;G21;Europa utenom EU/EFTA/Storbritannia;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
141;Sveits;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
143;Tyrkia;G23;Asia;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
144;Tyskland;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
146;Slovenia;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
148;Ukraina;G21;Europa utenom EU/EFTA/Storbritannia;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
152;Ungarn;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
153;Østerrike;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
154;Vatikanstaten;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
155;Bosnia-Hercegovina;G21;Europa utenom EU/EFTA/Storbritannia;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
156;Nord-Makedonia;G21;Europa utenom EU/EFTA/Storbritannia;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
157;Slovakia;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
158;Tsjekkia;G13;Nye EU-land etter 2004;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
159;Serbia;G21;Europa utenom EU/EFTA/Storbritannia;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
160;Montenegro;G21;Europa utenom EU/EFTA/Storbritannia;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
161;Kosovo;G21;Europa utenom EU/EFTA/Storbritannia;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
162;Guernsey;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
163;Jersey;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
164;Man;G12;EU/EFTA fram til 2004 utenom Norden;G1;Norden utenom Norge, EU/EFTA,  Storbritannia, USA, Canada, Australia, New Zealand
203;Algerie;G22;Afrika;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
204;Angola;G22;Afrika;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
205;Botswana;G22;Afrika;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
209;Sankt Helena, Ascension og Tristan da Cunha;G22;Afrika;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
213;Det britiske territorium i Indiahavet;G22;Afrika;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
216;Burundi;G22;Afrika;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
220;Komorene;G22;Afrika;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
229;Benin;G22;Afrika;G2;Europa utenom EU/EFTA og Storbritannia, Afrika, Asia, Amerika utenom USA og Canada, Oseania utenom Australia og NZ, polare områder
