kommunenr_1977;kommunenavn_1977;kommunenr_1988;kommunenavn_1988;kommunenr_1992;kommunenavn_1992;kommunenr_1994;kommunenavn_1994;kommunenr_2002;kommunenavn_2002;kommunenr_2005;kommunenavn_2005;kommunenr_2006;kommunenavn_2006;kommunenr_2008;kommunenavn_2008;kommunenr_2012;kommunenavn_2012;kommunenr_2013;kommunenavn_2013;kommunenr_2017;kommunenavn_2017;kommunenr_2018;kommunenavn_2018;kommunenr_2019;kommunenavn_2019;kommunenr_2020;kommunenavn_2020;kommunenr_2024;kommunenavn_2024
0101;Halden;0101;Halden;0101;Halden;0101;Halden;0101;Halden;0101;Halden;0101;Halden;0101;Halden;0101;Halden;0101;Halden;0101;Halden;0101;Halden;0101;Halden;3001;Halden;3101;Halden
0102;Sarpsborg;0102;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;3003;Sarpsborg;3105;Sarpsborg
0114;Varteig;0114;Varteig;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;3003;Sarpsborg;3105;Sarpsborg
0115;Skjeberg;0115;Skjeberg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;3003;Sarpsborg;3105;Sarpsborg
0130;Tune;0130;Tune;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;0105;Sarpsborg;3003;Sarpsborg;3105;Sarpsborg
1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger;1103;Stavanger
0104;Moss;0104;Moss;0104;Moss;0104;Moss;0104;Moss;0104;Moss;0104;Moss;0104;Moss;0104;Moss;0104;Moss;0104;Moss;0104;Moss;0104;Moss;3002;Moss;3103;Moss
1141;Finnøy;1141;Finnøy;1141;Finnøy;1141;Finnøy;1141;Finnøy;1141;Finnøy;1141;Finnøy;1141;Finnøy;1141;Finnøy;1141;Finnøy;1141;Finnøy;1141;Finnøy;1141;Finnøy;1103;Stavanger;1103;Stavanger
1142;Rennesøy;1142;Rennesøy;1142;Rennesøy;1142;Rennesøy;1142;Rennesøy;1142;Rennesøy;1142;Rennesøy;1142;Rennesøy;1142;Rennesøy;1142;Rennesøy;1142;Rennesøy;1142;Rennesøy;1142;Rennesøy;1103;Stavanger;1103;Stavanger
0103;Fredrikstad;0103;Fredrikstad;0103;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;3004;Fredrikstad;3107;Fredrikstad
0113;Borge;0113;Borge;0113;Borge;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;3004;Fredrikstad;3107;Fredrikstad
0131;Rolvsøy;0131;Rolvsøy;0131;Rolvsøy;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;3004;Fredrikstad;3107;Fredrikstad
0133;Kråkerøy;0133;Kråkerøy;0133;Kråkerøy;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;3004;Fredrikstad;3107;Fredrikstad
0134;Onsøy;0134;Onsøy;0134;Onsøy;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;0106;Fredrikstad;3004;Fredrikstad;3107;Fredrikstad
1504;Ålesund;1504;Ålesund;1504;Ålesund;1504;Ålesund;1504;Ålesund;1504;Ålesund;1504;Ålesund;1504;Ålesund;1504;Ålesund;1504;Ålesund;1504;Ålesund;1504;Ålesund;1504;Ålesund;1507;Ålesund;1508;Ålesund
0111;Hvaler;0111;Hvaler;0111;Hvaler;0111;Hvaler;0111;Hvaler;0111;Hvaler;0111;Hvaler;0111;Hvaler;0111;Hvaler;0111;Hvaler;0111;Hvaler;0111;Hvaler;0111;Hvaler;3011;Hvaler;3110;Hvaler
1523;Ørskog;1523;Ørskog;1523;Ørskog;1523;Ørskog;1523;Ørskog;1523;Ørskog;1523;Ørskog;1523;Ørskog;1523;Ørskog;1523;Ørskog;1523;Ørskog;1523;Ørskog;1523;Ørskog;1507;Ålesund;1508;Ålesund
0118;Aremark;0118;Aremark;0118;Aremark;0118;Aremark;0118;Aremark;0118;Aremark;0118;Aremark;0118;Aremark;0118;Aremark;0118;Aremark;0118;Aremark;0118;Aremark;0118;Aremark;3012;Aremark;3124;Aremark
1529;Skodje;1529;Skodje;1529;Skodje;1529;Skodje;1529;Skodje;1529;Skodje;1529;Skodje;1529;Skodje;1529;Skodje;1529;Skodje;1529;Skodje;1529;Skodje;1529;Skodje;1507;Ålesund;1508;Ålesund
0119;Marker;0119;Marker;0119;Marker;0119;Marker;0119;Marker;0119;Marker;0119;Marker;0119;Marker;0119;Marker;0119;Marker;0119;Marker;0119;Marker;0119;Marker;3013;Marker;3122;Marker
1534;Haram;1534;Haram;1534;Haram;1534;Haram;1534;Haram;1534;Haram;1534;Haram;1534;Haram;1534;Haram;1534;Haram;1534;Haram;1534;Haram;1534;Haram;1507;Ålesund;1580;Haram
1102;Sandnes;1102;Sandnes;1102;Sandnes;1102;Sandnes;1102;Sandnes;1102;Sandnes;1102;Sandnes;1102;Sandnes;1102;Sandnes;1102;Sandnes;1102;Sandnes;1102;Sandnes;1102;Sandnes;1108;Sandnes;1108;Sandnes
0121;Rømskog;0121;Rømskog;0121;Rømskog;0121;Rømskog;0121;Rømskog;0121;Rømskog;0121;Rømskog;0121;Rømskog;0121;Rømskog;0121;Rømskog;0121;Rømskog;0121;Rømskog;0121;Rømskog;3026;Aurskog-Høland;3226;Aurskog-Høland
1546;Sandøy;1546;Sandøy;1546;Sandøy;1546;Sandøy;1546;Sandøy;1546;Sandøy;1546;Sandøy;1546;Sandøy;1546;Sandøy;1546;Sandøy;1546;Sandøy;1546;Sandøy;1546;Sandøy;1507;Ålesund;1508;Ålesund
1129;Forsand;1129;Forsand;1129;Forsand;1129;Forsand;1129;Forsand;1129;Forsand;1129;Forsand;1129;Forsand;1129;Forsand;1129;Forsand;1129;Forsand;1129;Forsand;1129;Forsand;1108;Sandnes;1108;Sandnes
0122;Trøgstad;0122;Trøgstad;0122;Trøgstad;0122;Trøgstad;0122;Trøgstad;0122;Trøgstad;0122;Trøgstad;0122;Trøgstad;0122;Trøgstad;0122;Trøgstad;0122;Trøgstad;0122;Trøgstad;0122;Trøgstad;3014;Indre Østfold;3118;Indre Østfold
0123;Spydeberg;0123;Spydeberg;0123;Spydeberg;0123;Spydeberg;0123;Spydeberg;0123;Spydeberg;0123;Spydeberg;0123;Spydeberg;0123;Spydeberg;0123;Spydeberg;0123;Spydeberg;0123;Spydeberg;0123;Spydeberg;3014;Indre Østfold;3118;Indre Østfold
1502;Molde;1502;Molde;1502;Molde;1502;Molde;1502;Molde;1502;Molde;1502;Molde;1502;Molde;1502;Molde;1502;Molde;1502;Molde;1502;Molde;1502;Molde;1506;Molde;1506;Molde
0124;Askim;0124;Askim;0124;Askim;0124;Askim;0124;Askim;0124;Askim;0124;Askim;0124;Askim;0124;Askim;0124;Askim;0124;Askim;0124;Askim;0124;Askim;3014;Indre Østfold;3118;Indre Østfold
1543;Nesset;1543;Nesset;1543;Nesset;1543;Nesset;1543;Nesset;1543;Nesset;1543;Nesset;1543;Nesset;1543;Nesset;1543;Nesset;1543;Nesset;1543;Nesset;1543;Nesset;1506;Molde;1506;Molde
0125;Eidsberg;0125;Eidsberg;0125;Eidsberg;0125;Eidsberg;0125;Eidsberg;0125;Eidsberg;0125;Eidsberg;0125;Eidsberg;0125;Eidsberg;0125;Eidsberg;0125;Eidsberg;0125;Eidsberg;0125;Eidsberg;3014;Indre Østfold;3118;Indre Østfold
0127;Skiptvet;0127;Skiptvet;0127;Skiptvet;0127;Skiptvet;0127;Skiptvet;0127;Skiptvet;0127;Skiptvet;0127;Skiptvet;0127;Skiptvet;0127;Skiptvet;0127;Skiptvet;0127;Skiptvet;0127;Skiptvet;3015;Skiptvet;3116;Skiptvet
1545;Midsund;1545;Midsund;1545;Midsund;1545;Midsund;1545;Midsund;1545;Midsund;1545;Midsund;1545;Midsund;1545;Midsund;1545;Midsund;1545;Midsund;1545;Midsund;1545;Midsund;1506;Molde;1506;Molde
0136;Rygge;0136;Rygge;0136;Rygge;0136;Rygge;0136;Rygge;0136;Rygge;0136;Rygge;0136;Rygge;0136;Rygge;0136;Rygge;0136;Rygge;0136;Rygge;0136;Rygge;3002;Moss;3103;Moss
0128;Rakkestad;0128;Rakkestad;0128;Rakkestad;0128;Rakkestad;0128;Rakkestad;0128;Rakkestad;0128;Rakkestad;0128;Rakkestad;0128;Rakkestad;0128;Rakkestad;0128;Rakkestad;0128;Rakkestad;0128;Rakkestad;3016;Rakkestad;3120;Rakkestad
0135;Råde;0135;Råde;0135;Råde;0135;Råde;0135;Råde;0135;Råde;0135;Råde;0135;Råde;0135;Råde;0135;Råde;0135;Råde;0135;Råde;0135;Råde;3017;Råde;3112;Råde
0137;Våler (Østfold);0137;Våler (Østfold);0137;Våler (Østfold);0137;Våler (Østfold);0137;Våler (Østfold);0137;Våler (Østfold);0137;Våler (Østfold);0137;Våler (Østfold);0137;Våler (Østfold);0137;Våler (Østfold);0137;Våler (Østfold);0137;Våler (Østfold);0137;Våler (Østfold);3018;Våler (Viken);3114;Våler (Østfold)
0138;Hobøl;0138;Hobøl;0138;Hobøl;0138;Hobøl;0138;Hobøl;0138;Hobøl;0138;Hobøl;0138;Hobøl;0138;Hobøl;0138;Hobøl;0138;Hobøl;0138;Hobøl;0138;Hobøl;3014;Indre Østfold;3118;Indre Østfold
0211;Vestby;0211;Vestby;0211;Vestby;0211;Vestby;0211;Vestby;0211;Vestby;0211;Vestby;0211;Vestby;0211;Vestby;0211;Vestby;0211;Vestby;0211;Vestby;0211;Vestby;3019;Vestby;3216;Vestby
0213;Ski;0213;Ski;0213;Ski;0213;Ski;0213;Ski;0213;Ski;0213;Ski;0213;Ski;0213;Ski;0213;Ski;0213;Ski;0213;Ski;0213;Ski;3020;Nordre Follo;3207;Nordre Follo
0214;Ås;0214;Ås;0214;Ås;0214;Ås;0214;Ås;0214;Ås;0214;Ås;0214;Ås;0214;Ås;0214;Ås;0214;Ås;0214;Ås;0214;Ås;3021;Ås;3218;Ås
0215;Frogn;0215;Frogn;0215;Frogn;0215;Frogn;0215;Frogn;0215;Frogn;0215;Frogn;0215;Frogn;0215;Frogn;0215;Frogn;0215;Frogn;0215;Frogn;0215;Frogn;3022;Frogn;3214;Frogn
0216;Nesodden;0216;Nesodden;0216;Nesodden;0216;Nesodden;0216;Nesodden;0216;Nesodden;0216;Nesodden;0216;Nesodden;0216;Nesodden;0216;Nesodden;0216;Nesodden;0216;Nesodden;0216;Nesodden;3023;Nesodden;3212;Nesodden
0217;Oppegård;0217;Oppegård;0217;Oppegård;0217;Oppegård;0217;Oppegård;0217;Oppegård;0217;Oppegård;0217;Oppegård;0217;Oppegård;0217;Oppegård;0217;Oppegård;0217;Oppegård;0217;Oppegård;3020;Nordre Follo;3207;Nordre Follo
0219;Bærum;0219;Bærum;0219;Bærum;0219;Bærum;0219;Bærum;0219;Bærum;0219;Bærum;0219;Bærum;0219;Bærum;0219;Bærum;0219;Bærum;0219;Bærum;0219;Bærum;3024;Bærum;3201;Bærum
0220;Asker;0220;Asker;0220;Asker;0220;Asker;0220;Asker;0220;Asker;0220;Asker;0220;Asker;0220;Asker;0220;Asker;0220;Asker;0220;Asker;0220;Asker;3025;Asker;3203;Asker
0221;Aurskog-Høland;0221;Aurskog-Høland;0221;Aurskog-Høland;0221;Aurskog-Høland;0221;Aurskog-Høland;0221;Aurskog-Høland;0221;Aurskog-Høland;0221;Aurskog-Høland;0221;Aurskog-Høland;0221;Aurskog-Høland;0221;Aurskog-Høland;0221;Aurskog-Høland;0221;Aurskog-Høland;3026;Aurskog-Høland;3226;Aurskog-Høland
0226;Sørum;0226;Sørum;0226;Sørum;0226;Sørum;0226;Sørum;0226;Sørum;0226;Sørum;0226;Sørum;0226;Sørum;0226;Sørum;0226;Sørum;0226;Sørum;0226;Sørum;3030;Lillestrøm;3205;Lillestrøm
1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande (Møre og Romsdal);1514;Sande;1514;Sande
0227;Fet;0227;Fet;0227;Fet;0227;Fet;0227;Fet;0227;Fet;0227;Fet;0227;Fet;0227;Fet;0227;Fet;0227;Fet;0227;Fet;0227;Fet;3030;Lillestrøm;3205;Lillestrøm
0228;Rælingen;0228;Rælingen;0228;Rælingen;0228;Rælingen;0228;Rælingen;0228;Rælingen;0228;Rælingen;0228;Rælingen;0228;Rælingen;0228;Rælingen;0228;Rælingen;0228;Rælingen;0228;Rælingen;3027;Rælingen;3224;Rælingen
1444;Hornindal;1444;Hornindal;1444;Hornindal;1444;Hornindal;1444;Hornindal;1444;Hornindal;1444;Hornindal;1444;Hornindal;1444;Hornindal;1444;Hornindal;1444;Hornindal;1444;Hornindal;1444;Hornindal;1577;Volda;1577;Volda
0229;Enebakk;0229;Enebakk;0229;Enebakk;0229;Enebakk;0229;Enebakk;0229;Enebakk;0229;Enebakk;0229;Enebakk;0229;Enebakk;0229;Enebakk;0229;Enebakk;0229;Enebakk;0229;Enebakk;3028;Enebakk;3220;Enebakk
0230;Lørenskog;0230;Lørenskog;0230;Lørenskog;0230;Lørenskog;0230;Lørenskog;0230;Lørenskog;0230;Lørenskog;0230;Lørenskog;0230;Lørenskog;0230;Lørenskog;0230;Lørenskog;0230;Lørenskog;0230;Lørenskog;3029;Lørenskog;3222;Lørenskog
1519;Volda;1519;Volda;1519;Volda;1519;Volda;1519;Volda;1519;Volda;1519;Volda;1519;Volda;1519;Volda;1519;Volda;1519;Volda;1519;Volda;1519;Volda;1577;Volda;1577;Volda
0231;Skedsmo;0231;Skedsmo;0231;Skedsmo;0231;Skedsmo;0231;Skedsmo;0231;Skedsmo;0231;Skedsmo;0231;Skedsmo;0231;Skedsmo;0231;Skedsmo;0231;Skedsmo;0231;Skedsmo;0231;Skedsmo;3030;Lillestrøm;3205;Lillestrøm
0233;Nittedal;0233;Nittedal;0233;Nittedal;0233;Nittedal;0233;Nittedal;0233;Nittedal;0233;Nittedal;0233;Nittedal;0233;Nittedal;0233;Nittedal;0233;Nittedal;0233;Nittedal;0233;Nittedal;3031;Nittedal;3232;Nittedal
1524;Norddal;1524;Norddal;1524;Norddal;1524;Norddal;1524;Norddal;1524;Norddal;1524;Norddal;1524;Norddal;1524;Norddal;1524;Norddal;1524;Norddal;1524;Norddal;1524;Norddal;1578;Fjord;1578;Fjord
0234;Gjerdrum;0234;Gjerdrum;0234;Gjerdrum;0234;Gjerdrum;0234;Gjerdrum;0234;Gjerdrum;0234;Gjerdrum;0234;Gjerdrum;0234;Gjerdrum;0234;Gjerdrum;0234;Gjerdrum;0234;Gjerdrum;0234;Gjerdrum;3032;Gjerdrum;3230;Gjerdrum
0235;Ullensaker;0235;Ullensaker;0235;Ullensaker;0235;Ullensaker;0235;Ullensaker;0235;Ullensaker;0235;Ullensaker;0235;Ullensaker;0235;Ullensaker;0235;Ullensaker;0235;Ullensaker;0235;Ullensaker;0235;Ullensaker;3033;Ullensaker;3209;Ullensaker
0627;Røyken;0627;Røyken;0627;Røyken;0627;Røyken;0627;Røyken;0627;Røyken;0627;Røyken;0627;Røyken;0627;Røyken;0627;Røyken;0627;Røyken;0627;Røyken;0627;Røyken;3025;Asker;3203;Asker
1526;Stordal;1526;Stordal;1526;Stordal;1526;Stordal;1526;Stordal;1526;Stordal;1526;Stordal;1526;Stordal;1526;Stordal;1526;Stordal;1526;Stordal;1526;Stordal;1526;Stordal;1578;Fjord;1578;Fjord
0236;Nes (Akershus);0236;Nes (Akershus);0236;Nes (Akershus);0236;Nes (Akershus);0236;Nes (Akershus);0236;Nes (Akershus);0236;Nes (Akershus);0236;Nes (Akershus);0236;Nes (Akershus);0236;Nes (Akershus);0236;Nes (Akershus);0236;Nes (Akershus);0236;Nes (Akershus);3034;Nes;3228;Nes
0628;Hurum;0628;Hurum;0628;Hurum;0628;Hurum;0628;Hurum;0628;Hurum;0628;Hurum;0628;Hurum;0628;Hurum;0628;Hurum;0628;Hurum;0628;Hurum;0628;Hurum;3025;Asker;3203;Asker
0237;Eidsvoll;0237;Eidsvoll;0237;Eidsvoll;0237;Eidsvoll;0237;Eidsvoll;0237;Eidsvoll;0237;Eidsvoll;0237;Eidsvoll;0237;Eidsvoll;0237;Eidsvoll;0237;Eidsvoll;0237;Eidsvoll;0237;Eidsvoll;3035;Eidsvoll;3240;Eidsvoll
1548;Fræna;1548;Fræna;1548;Fræna;1548;Fræna;1548;Fræna;1548;Fræna;1548;Fræna;1548;Fræna;1548;Fræna;1548;Fræna;1548;Fræna;1548;Fræna;1548;Fræna;1579;Hustadvika;1579;Hustadvika
0238;Nannestad;0238;Nannestad;0238;Nannestad;0238;Nannestad;0238;Nannestad;0238;Nannestad;0238;Nannestad;0238;Nannestad;0238;Nannestad;0238;Nannestad;0238;Nannestad;0238;Nannestad;0238;Nannestad;3036;Nannestad;3238;Nannestad
1551;Eide;1551;Eide;1551;Eide;1551;Eide;1551;Eide;1551;Eide;1551;Eide;1551;Eide;1551;Eide;1551;Eide;1551;Eide;1551;Eide;1551;Eide;1579;Hustadvika;1579;Hustadvika
0239;Hurdal;0239;Hurdal;0239;Hurdal;0239;Hurdal;0239;Hurdal;0239;Hurdal;0239;Hurdal;0239;Hurdal;0239;Hurdal;0239;Hurdal;0239;Hurdal;0239;Hurdal;0239;Hurdal;3037;Hurdal;3242;Hurdal
0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo;0301;Oslo
0402;Kongsvinger;0402;Kongsvinger;0402;Kongsvinger;0402;Kongsvinger;0402;Kongsvinger;0402;Kongsvinger;0402;Kongsvinger;0402;Kongsvinger;0402;Kongsvinger;0402;Kongsvinger;0402;Kongsvinger;0402;Kongsvinger;0402;Kongsvinger;3401;Kongsvinger;3401;Kongsvinger
1805;Narvik;1805;Narvik;1805;Narvik;1805;Narvik;1805;Narvik;1805;Narvik;1805;Narvik;1805;Narvik;1805;Narvik;1805;Narvik;1805;Narvik;1805;Narvik;1805;Narvik;1806;Narvik;1806;Narvik
0401;Hamar;0401;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;3403;Hamar;3403;Hamar
0414;Vang;0414;Vang;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;0403;Hamar;3403;Hamar;3403;Hamar
0412;Ringsaker;0412;Ringsaker;0412;Ringsaker;0412;Ringsaker;0412;Ringsaker;0412;Ringsaker;0412;Ringsaker;0412;Ringsaker;0412;Ringsaker;0412;Ringsaker;0412;Ringsaker;0412;Ringsaker;0412;Ringsaker;3411;Ringsaker;3411;Ringsaker
0415;Løten;0415;Løten;0415;Løten;0415;Løten;0415;Løten;0415;Løten;0415;Løten;0415;Løten;0415;Løten;0415;Løten;0415;Løten;0415;Løten;0415;Løten;3412;Løten;3412;Løten
1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1806;Narvik;1806;Narvik
1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1806;Narvik;1875;Hábmer - Hamarøy
1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1875;Hábmer - Hamarøy;1806;Narvik
1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1850;Tysfjord - Divtasvuodna;1875;Hábmer - Hamarøy;1875;Hábmer - Hamarøy
