kommunenr_2024,kommunenavn_2024,bydelsnr,bydelsnavn
0301,Oslo,030101,Gamle Oslo
0301,Oslo,030102,Grünerløkka
0301,Oslo,030103,Sagene
0301,Oslo,030104,St. Hanshaugen
0301,Oslo,030105,Frogner
0301,Oslo,030106,Ullern
0301,Oslo,030107,Vestre Aker
0301,Oslo,030108,Nordre Aker
0301,Oslo,030109,Bjerke
0301,Oslo,030110,Grorud
0301,Oslo,030111,Stovner
0301,Oslo,030112,Alna
0301,Oslo,030113,Østensjø
0301,Oslo,030114,Nordstrand
0301,Oslo,030115,Søndre Nordstrand
0301,Oslo,030116,Sentrum
0301,Oslo,030117,Marka
0301,Oslo,030199,Uoppgitt
1103,Stavanger,110301,Hundvåg
1103,Stavanger,110302,Tasta
1103,Stavanger,110303,Eiganes og Våland
1103,Stavanger,110304,Madla
1103,Stavanger,110305,Storhaug
1103,Stavanger,110306,Hillevåg
1103,Stavanger,110307,Hinna
1103,Stavanger,110308,Finnøy
1103,Stavanger,110309,Rennesøy
1103,Stavanger,110399,Uoppgitt
4601,Bergen,460101,Arna
4601,Bergen,460102,Bergenhus
4601,Bergen,460103,Fana
4601,Bergen,460104,Fyllingsdalen
4601,Bergen,460105,Laksevåg
4601,Bergen,460106,Ytrebygda
4601,Bergen,460107,Årstad
4601,Bergen,460108,Åsane
4601,Bergen,460199,Uoppgitt
5001,Trondheim,500101,Midtbyen
5001,Trondheim,500102,Østbyen
5001,Trondheim,500103,Lerkendal
5001,Trondheim,500104,Heimdal
5001,Trondheim,500199,Uoppgitt
