dimensions.code,dimensions.label,land,land_code,fylke,fylke_code,kommune,kommune_code,bydel,bydel_code,region_code,region_navn,region_level
GEO,Geografi,Hele landet,0,,,,,,,0,Hele landet,land
GEO,Geografi,Hele landet,0,Oslo,03,,,,,03,Oslo,fylke
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,,,0301,Oslo,kommune
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Gamle Oslo,030101,030101,Bydel Gamle Oslo,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Grünerløkka,030102,030102,Bydel Grünerløkka,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Sagene,030103,030103,Bydel Sagene,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel St. Hanshaugen,030104,030104,Bydel St. Hanshaugen,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Frogner,030105,030105,Bydel Frogner,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Ullern,030106,030106,Bydel Ullern,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Vestre Aker,030107,030107,Bydel Vestre Aker,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Nordre Aker,030108,030108,Bydel Nordre Aker,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Bjerke,030109,030109,Bydel Bjerke,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Grorud,030110,030110,Bydel Grorud,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Stovner,030111,030111,Bydel Stovner,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Alna,030112,030112,Bydel Alna,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Østensjø,030113,030113,Bydel Østensjø,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Nordstrand,030114,030114,Bydel Nordstrand,bydel
GEO,Geografi,Hele landet,0,Oslo,03,Oslo,0301,Bydel Søndre Nordstrand,030115,030115,Bydel Søndre Nordstrand,bydel
GEO,Geografi,Hele landet,0,Rogaland,11,,,,,11,Rogaland,fylke
GEO,Geografi,Hele landet,0,Rogaland,11,Eigersund,1101,,,1101,Eigersund,kommune
GEO,Geografi,Hele landet,0,Rogaland,11,Stavanger,1103,,,1103,Stavanger,kommune
GEO,Geografi,Hele landet,0,Rogaland,11,Stavanger,1103,Hundvåg kommunedel,110301,110301,Hundvåg kommunedel,bydel
