code,name,validFromInRequestedRange,validToInRequestedRange,newCode,newName,changeOccurred,notes
01,Østfold,1919-01-01,2020-01-01,30,Viken,2020-01-01,
20,Finnmarkens amt,1842-01-01,1919-01-01,19,Tromsø amt,1867-01-01,
20,Finnmarkens amt,1842-01-01,1919-01-01,20,Finnmarkens amt,1867-01-01,
20,Finnmarkens amt,1842-01-01,1919-01-01,20,Finnmark,1919-01-01,
01,Smaalenenes amt,1842-01-01,1919-01-01,01,Østfold,1919-01-01,
02,Akershus amt,1842-01-01,1919-01-01,02,Akershus,1919-01-01,
02,Akershus,1919-01-01,2020-01-01,30,Viken,2020-01-01,
03,Oslo,1919-01-01,,03,Oslo,,
03,Christiania amt,1842-01-01,1919-01-01,03,Oslo,1919-01-01,03 Christiania/Kristiania (Oslo) ble eget amtskommune/fylkekommune 1842. Før var den en del av 02 Akershus.
04,Hedemarkens amt,1842-01-01,1919-01-01,04,Hedmark,1919-01-01,
05,Kristians amt,1842-01-01,1919-01-01,05,Oppland,1919-01-01,
04,Hedmark,1919-01-01,2020-01-01,34,Innlandet,2020-01-01,
06,Buskerud amt,1842-01-01,1919-01-01,06,Buskerud,1919-01-01,
05,Oppland,1919-01-01,2020-01-01,34,Innlandet,2020-01-01,
07,Jarlsberg og Larviks amt,1842-01-01,1919-01-01,07,Vestfold,1919-01-01,
08,Bratsbergs amt,1842-01-01,1919-01-01,08,Telemark,1919-01-01,
06,Buskerud,1919-01-01,2020-01-01,30,Viken,2020-01-01,
09,Nedenes amt,1842-01-01,1919-01-01,09,Aust-Agder,1919-01-01,
10,Lister og Mandals amt,1842-01-01,1919-01-01,10,Vest-Agder,1919-01-01,
07,Vestfold,1919-01-01,2020-01-01,38,Vestfold og Telemark,2020-01-01,
11,Stavanger amt,1842-01-01,1919-01-01,11,Rogaland,1919-01-01,
12,Søndre Bergenhus amt,1842-01-01,1919-01-01,12,Hordaland,1919-01-01,
13,Bergen amt,1842-01-01,1919-01-01,13,Bergen,1919-01-01,
08,Telemark,1919-01-01,2020-01-01,38,Vestfold og Telemark,2020-01-01,
14,Nordre Bergenhus amt,1842-01-01,1919-01-01,14,Sogn og Fjordane,1919-01-01,
15,Romsdals amt,1842-01-01,1919-01-01,15,Møre,1919-01-01,
09,Aust-Agder,1919-01-01,2020-01-01,42,Agder,2020-01-01,
16,Søndre Trondhjems amt,1842-01-01,1919-01-01,16,Sør-Trøndelag,1919-01-01,
17,Nordre Trondhjems amt,1842-01-01,1919-01-01,17,Nord-Trøndelag,1919-01-01,
10,Vest-Agder,1919-01-01,2020-01-01,42,Agder,2020-01-01,
18,Nordlands amt,1842-01-01,1919-01-01,18,Nordland,1919-01-01,
11,Rogaland,1919-01-01,,11,Rogaland,,
19,Tromsø amt,1867-01-01,1919-01-01,19,Troms,1919-01-01,
12,Hordaland,1919-01-01,2020-01-01,12,Hordaland,1972-01-01,
12,Hordaland,1919-01-01,2020-01-01,46,Vestland,2020-01-01,
15,Møre,1919-01-01,1936-01-01,15,Møre og Romsdal,1936-01-01,
13,Bergen,1919-01-01,1972-01-01,12,Hordaland,1972-01-01,
20,Finnmark,1919-01-01,2003-01-01,20,Finnmark - Finnmárku,2003-01-01, 
19,Troms,1919-01-01,2007-01-01,19,Troms - Romsa,2007-01-01,
14,Sogn og Fjordane,1919-01-01,2020-01-01,46,Vestland,2020-01-01,
16,Sør-Trøndelag,1919-01-01,2018-01-01,50,Trøndelag,2018-01-01,
17,Nord-Trøndelag,1919-01-01,2018-01-01,50,Trøndelag,2018-01-01,
15,Møre og Romsdal,1936-01-01,,15,Møre og Romsdal,,
18,Nordland,1919-01-01,2020-01-01,18,Nordland,,
18,Nordland - Nordlánnda,2022-01-01,,18,Nordland - Nordlánnda,,Stortingets vedtak fra 27. april 2021 innfører tospråklig navn på Nordland fylke, norsk og lulesamisk. Endringen trer i kraft straks. 
18,Nordland ,2020-01-01,2022-01-01,18,Nordland - Nordlánnda,2022-01-01,I 2020 avga 18 Nordland kommune 1852 Tjeldsund til 54 Troms og Finnmark, som del av ny kommune 5412 Tjeldsund. 
19,Troms - Romsa,2007-01-01,2020-01-01,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,2020-01-01,
20,Finnmark - Finnmárku,2003-01-01,2020-01-01,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,2020-01-01,
30,Viken,2020-01-01,2024-01-01,31,Østfold,2024-01-01,
30,Viken,2020-01-01,2024-01-01,32,Akershus,2024-01-01,
30,Viken,2020-01-01,2024-01-01,33,Buskerud,2024-01-01,
31,Østfold,2024-01-01,,31,Østfold,,
32,Akershus,2024-01-01,,32,Akershus,,
38,Vestfold og Telemark,2020-01-01,2024-01-01,39,Vestfold,2024-01-01,
38,Vestfold og Telemark,2020-01-01,2024-01-01,40,Telemark,2024-01-01,
33,Buskerud,2024-01-01,,33,Buskerud,,
34,Innlandet,2020-01-01,,34,Innlandet,,
39,Vestfold,2024-01-01,,39,Vestfold,,
40,Telemark,2024-01-01,,40,Telemark,,
42,Agder,2020-01-01,,42,Agder,,
46,Vestland,2020-01-01,,46,Vestland,,
50,Trøndelag,2018-01-01,2020-01-01,50,Trøndelag - Trööndelage,2020-01-01,Fra 1. januar 2019 skiftet 1567 Rindal fylke og fikk nytt kommunenummer 5061. Alle grunnkretser i Rindal kommune fikk dermed nytt nummer som starter på 5061 i stedet for 1567.
50,Trøndelag - Trööndelage,2020-01-01,,50,Trøndelag - Trööndelage,,
54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,2020-01-01,2024-01-01,55,Troms - Romsa - Tromssa,2024-01-01,
54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,2020-01-01,2024-01-01,56,Finnmark - Finnmárku - Finmarkku,2024-01-01,
55,Troms - Romsa - Tromssa,2024-01-01,,55,Troms - Romsa - Tromssa,,
56,Finnmark - Finnmárku - Finmarkku,2024-01-01,,56,Finnmark - Finnmárku - Finmarkku,,
99,Uoppgitt,1842-01-01,,99,Uoppgitt,,
