code;name.1;validFromInRequestedRange;validToInRequestedRange;1919.newCode;1972.newCode;2018.newCode;2020.newCode;2024.newCode;2024.name
01;Østfold;1919-01-01;2020-01-01;01;01;01;30;31;Østfold
01;Smaalenenes amt;1842-01-01;1919-01-01;01;01;01;30;31;Østfold
02;Akershus amt;1842-01-01;1919-01-01;02;02;02;30;31;Østfold
02;Akershus;1919-01-01;2020-01-01;02;02;02;30;31;Østfold
03;Oslo;1919-01-01;2024-01-01;03;03;03;03;03;Oslo
03;Christiania amt;1842-01-01;1919-01-01;03;03;03;03;03;Oslo
01;Østfold;1919-01-01;2020-01-01;01;01;01;30;32;Akershus
01;Smaalenenes amt;1842-01-01;1919-01-01;01;01;01;30;32;Akershus
02;Akershus amt;1842-01-01;1919-01-01;02;02;02;30;32;Akershus
02;Akershus;1919-01-01;2020-01-01;02;02;02;30;32;Akershus
01;Østfold;1919-01-01;2020-01-01;01;01;01;30;33;Buskerud
01;Smaalenenes amt;1842-01-01;1919-01-01;01;01;01;30;33;Buskerud
02;Akershus amt;1842-01-01;1919-01-01;02;02;02;30;33;Buskerud
02;Akershus;1919-01-01;2020-01-01;02;02;02;30;33;Buskerud
04;Hedemarkens amt;1842-01-01;1919-01-01;04;04;04;34;34;Innlandet
04;Hedmark;1919-01-01;2020-01-01;04;04;04;34;34;Innlandet
05;Oppland;1919-01-01;2020-01-01;05;05;05;34;34;Innlandet
05;Kristians amt;1842-01-01;1919-01-01;05;05;05;34;34;Innlandet
06;Buskerud;1919-01-01;2020-01-01;06;06;06;30;31;Østfold
06;Buskerud;1919-01-01;2020-01-01;06;06;06;30;32;Akershus
06;Buskerud;1919-01-01;2020-01-01;06;06;06;30;33;Buskerud
06;Buskerud amt;1842-01-01;1919-01-01;06;06;06;30;31;Østfold
06;Buskerud amt;1842-01-01;1919-01-01;06;06;06;30;32;Akershus
06;Buskerud amt;1842-01-01;1919-01-01;06;06;06;30;33;Buskerud
07;Vestfold;1919-01-01;2020-01-01;07;07;07;38;39;Vestfold
07;Vestfold;1919-01-01;2020-01-01;07;07;07;38;40;Telemark
07;Jarlsberg og Larviks amt;1842-01-01;1919-01-01;07;07;07;38;39;Vestfold
07;Jarlsberg og Larviks amt;1842-01-01;1919-01-01;07;07;07;38;40;Telemark
08;Bratsbergs amt;1842-01-01;1919-01-01;08;08;08;38;39;Vestfold
08;Bratsbergs amt;1842-01-01;1919-01-01;08;08;08;38;40;Telemark
08;Telemark;1919-01-01;2020-01-01;08;08;08;38;39;Vestfold
08;Telemark;1919-01-01;2020-01-01;08;08;08;38;40;Telemark
