kommunenr_2024,kommunenavn_2024,kilde,kommunenr_historiske,kommunenavn_historiske
0301,Oslo,kommunenr_1977,0301,Oslo
1101,Eigersund,kommunenr_1977,1101,Eigersund
1103,Stavanger,kommunenr_1977,1142,Rennesøy
1103,Stavanger,kommunenr_1977,1103,Stavanger
1103,Stavanger,kommunenr_1977,1141,Finnøy
1106,Haugesund,kommunenr_1977,1106,Haugesund
1108,Sandnes,kommunenr_2020,1108,Sandnes
1108,Sandnes,kommunenr_1977,1129,Forsand
1108,Sandnes,kommunenr_1977,1102,Sandnes
1111,Sokndal,kommunenr_1977,1111,Sokndal
1112,Lund,kommunenr_1977,1112,Lund
1114,Bjerkreim,kommunenr_1977,1114,Bjerkreim
1119,Hå,kommunenr_1977,1119,Hå
1120,Klepp,kommunenr_1977,1120,Klepp
1121,Time,kommunenr_1977,1121,Time
1122,Gjesdal,kommunenr_1977,1122,Gjesdal
1124,Sola,kommunenr_1977,1124,Sola
1127,Randaberg,kommunenr_1977,1127,Randaberg
1130,Strand,kommunenr_1977,1130,Strand
1133,Hjelmeland,kommunenr_1977,1133,Hjelmeland
1134,Suldal,kommunenr_1977,1134,Suldal
1135,Sauda,kommunenr_1977,1135,Sauda
1144,Kvitsøy,kommunenr_1977,1144,Kvitsøy
1145,Bokn,kommunenr_1977,1145,Bokn
1146,Tysvær,kommunenr_1977,1146,Tysvær
1149,Karmøy,kommunenr_1977,1149,Karmøy
1151,Utsira,kommunenr_1977,1151,Utsira
1160,Vindafjord,kommunenr_2002,1159,Ølen
1160,Vindafjord,kommunenr_2006,1160,Vindafjord
1160,Vindafjord,kommunenr_1977,1214,Ølen
1160,Vindafjord,kommunenr_1977,1154,Vindafjord
1505,Kristiansund,kommunenr_2008,1505,Kristiansund
1505,Kristiansund,kommunenr_1977,1503,Kristiansund
1505,Kristiansund,kommunenr_1977,1556,Frei
1506,Molde,kommunenr_2020,1506,Molde
1506,Molde,kommunenr_1977,1502,Molde
1506,Molde,kommunenr_1977,1545,Midsund
1506,Molde,kommunenr_1977,1543,Nesset
1508,Ålesund,kommunenr_1977,1546,Sandøy
1508,Ålesund,kommunenr_1977,1529,Skodje
1508,Ålesund,kommunenr_1977,1523,Ørskog
1508,Ålesund,kommunenr_2020,1507,Ålesund
1508,Ålesund,kommunenr_1977,1504,Ålesund
1508,Ålesund,kommunenr_2024,1508,Ålesund
