kommunenr_2024,kommunenavn_2024,BA-region,Reisetid,Ut-pendling,Inn-pendling,Inkluderingsgrunnlag
0301,Oslo,05 Oslo/Bærum,11.88,70.21,70.21,Senterkommune (Sammen med Bærum)
1101,Eigersund,48 Eigersund,8,59.67,59.67,Senterkommune
1103,Stavanger,49 Stavanger/Sandnes,14.64,61.82,61.82,Senterkommune (Sammen med Sandnes)
1106,Haugesund,50 Haugesund,5.23,51.65,51.65,Senterkommune
1108,Sandnes,49 Stavanger/Sandnes,14.64,61.82,61.82,Senterkommune (Sammen med Stavanger)
1111,Sokndal,48 Eigersund,29.37,12.24,2.62,Utpendling > 8
1112,Lund,48 Eigersund,41.28,6.07,1.38,Reisevei < 45. sum pendling > 6
1114,Bjerkreim,48 Eigersund,22.42,12.8,2.37,Utpendling > 8
1119,Hå,49 Stavanger/Sandnes,39.83,12.16,0.99,Utpendling > 8
1120,Klepp,49 Stavanger/Sandnes,22.08,28.24,2.34,Utpendling > 8
1121,Time,49 Stavanger/Sandnes,27.03,24.01,1.98,Utpendling > 8
1122,Gjesdal,49 Stavanger/Sandnes,25.78,32.68,1.74,Utpendling > 8
1124,Sola,49 Stavanger/Sandnes,15.17,40.77,4.77,Utpendling > 8
1127,Randaberg,49 Stavanger/Sandnes,16.99,43.01,2.04,Utpendling > 8
1130,Strand,49 Stavanger/Sandnes,51.46,19.6,1.07,Utpendling > 8
1133,Hjelmeland,51 Hjelmeland,15.48,67.82,67.82,Restkommune. egen BA-region
1134,Suldal,52 Suldal,29.34,74.73,74.73,Restkommune. egen BA-region
1135,Sauda,53 Sauda,4.41,65.65,65.65,Restkommune. egen BA-region
1144,Kvitsøy,49 Stavanger/Sandnes,50.25,28.57,0.06,Utpendling > 8
1145,Bokn,50 Haugesund,33.08,11.52,0.24,Utpendling > 8
1146,Tysvær,50 Haugesund,18.87,25.26,6.85,Utpendling > 8
1149,Karmøy,50 Haugesund,19.66,20,21.51,Utpendling > 8
1151,Utsira,54 Utsira,0,73.73,73.73,Restkommune. egen BA-region
1160,Vindafjord,55 Vindafjord,17.03,65,65,Senterkommune
1505,Kristiansund,77 Kristiansund,7.31,62.96,62.96,Senterkommune
1506,Molde,78 Molde,19.52,69.36,69.36,Senterkommune
1508,Ålesund,79 Ålesund,21.2,70.8,70.78,Senterkommune
1511,Vanylven,80 Vanylven,15.1,65.6,65.6,Restkommune. egen BA-region
1514,Sande,81 Ulstein,31.85,6.11,1.79,Reisevei < 45. sum pendling > 6
1514,Sande,81 Ulstein,31.85,6.11,1.79,Reisevei < 45. sum pendling > 6
1515,Herøy (Møre og Romsdal),81 Ulstein,22.13,8.47,8.78,Utpendling > 8
1516,Ulstein,81 Ulstein,5.37,53.79,53.79,Senterkommune
1517,Hareid,81 Ulstein,12.53,20.38,12.29,Utpendling > 8
1520,Ørsta,89 Volda,20.7,16.99,17.35,Utpendling > 8
1525,Stranda,82 Stranda,15.29,75.38,75.38,Restkommune. egen BA-region
1528,Sykkylven,79 Ålesund,40.47,8.4,0.96,Utpendling > 8
1531,Sula,79 Ålesund,25.02,38.81,5.18,Utpendling > 8
1532,Giske,79 Ålesund,26.35,35.76,4.3,Utpendling > 8
1535,Vestnes,83 Vestnes,10.47,59.4,59.4,Restkommune. egen BA-region
1539,Rauma,84 Rauma,16.35,66.97,66.97,Restkommune. egen BA-region
1547,Aukra,78 Molde,36.42,22.29,2.35,Utpendling > 8
1554,Averøy,77 Kristiansund,23.74,16.71,3.88,Utpendling > 8
1557,Gjemnes,78 Molde,38.97,21.54,1.66,Utpendling > 8
1560,Tingvoll,77 Kristiansund,41,9.99,1.17,Utpendling > 8
1563,Sunndal,85 Sunndal,9.75,71.41,71.41,Restkommune. egen BA-region
1566,Surnadal,86 Surnadal,12.67,69.84,69.84,Senterkommune
1573,Smøla,87 Smøla,14.23,74.96,74.96,Restkommune. egen BA-region
1576,Aure,88 Aure,20.99,65.93,65.93,Restkommune. egen BA-region
1577,Volda,89 Volda,15.02,52.57,52.57,Senterkommune
1578,Fjord,79 Ålesund,63.99,13.31,0.5,Utpendling > 8
1579,Hustadvika,78 Molde,33.36,24.01,9.74,Utpendling > 8
1804,Bodø,106 Bodø,11.69,78.05,78.05,Senterkommune
1806,Narvik,107 Narvik,22.94,68.31,71.18,Restkommune. egen BA-region
1811,Bindal,105 Nærøysund,58.49,9.31,1.34,Utpendling > 8
1812,Sømna,108 Brønnøy,31.69,14.9,3.67,Utpendling > 8
1813,Brønnøy,108 Brønnøy,12.05,67.32,67.32,Senterkommune
1815,Vega,109 Vega,6.49,61.47,61.47,Restkommune. egen BA-region
