kommunenr_2024,kommunenavn_2024,landsdelnr,landsdel
0301,Oslo,1,Oslo og Viken
1101,Eigersund,4,Vestlandet
1103,Stavanger,4,Vestlandet
1106,Haugesund,4,Vestlandet
1108,Sandnes,4,Vestlandet
1111,Sokndal,4,Vestlandet
1112,Lund,4,Vestlandet
1114,Bjerkreim,4,Vestlandet
1119,Hå,4,Vestlandet
1120,Klepp,4,Vestlandet
1121,Time,4,Vestlandet
1122,Gjesdal,4,Vestlandet
1124,Sola,4,Vestlandet
1127,Randaberg,4,Vestlandet
1130,Strand,4,Vestlandet
1133,Hjelmeland,4,Vestlandet
1134,Suldal,4,Vestlandet
1135,Sauda,4,Vestlandet
1144,Kvitsøy,4,Vestlandet
1145,Bokn,4,Vestlandet
1146,Tysvær,4,Vestlandet
1149,Karmøy,4,Vestlandet
1151,Utsira,4,Vestlandet
1160,Vindafjord,4,Vestlandet
1505,Kristiansund,4,Vestlandet
1506,Molde,4,Vestlandet
1508,Ålesund,4,Vestlandet
1511,Vanylven,4,Vestlandet
1514,Sande,4,Vestlandet
1515,Herøy (Møre og Romsdal),4,Vestlandet
1516,Ulstein,4,Vestlandet
1517,Hareid,4,Vestlandet
1520,Ørsta,4,Vestlandet
1525,Stranda,4,Vestlandet
1528,Sykkylven,4,Vestlandet
1531,Sula,4,Vestlandet
1532,Giske,4,Vestlandet
1535,Vestnes,4,Vestlandet
1539,Rauma,4,Vestlandet
1547,Aukra,4,Vestlandet
1554,Averøy,4,Vestlandet
1557,Gjemnes,4,Vestlandet
1560,Tingvoll,4,Vestlandet
1563,Sunndal,4,Vestlandet
1566,Surnadal,4,Vestlandet
1573,Smøla,4,Vestlandet
1576,Aure,4,Vestlandet
1577,Volda,4,Vestlandet
1578,Fjord,4,Vestlandet
1579,Hustadvika,4,Vestlandet
1580,Haram,4,Vestlandet
1804,Bodø,6,Nord-Norge
1806,Narvik,6,Nord-Norge
1811,Bindal,6,Nord-Norge
1812,Sømna,6,Nord-Norge
1813,Brønnøy,6,Nord-Norge
1815,Vega,6,Nord-Norge
1816,Vevelstad,6,Nord-Norge
1818,Herøy (Nordland),6,Nord-Norge
1820,Alstahaug,6,Nord-Norge
1822,Leirfjord,6,Nord-Norge
1824,Vefsn,6,Nord-Norge
1825,Grane,6,Nord-Norge
1826,Aarborte - Hattfjelldal,6,Nord-Norge
1827,Dønna,6,Nord-Norge
1828,Nesna,6,Nord-Norge
1832,Hemnes,6,Nord-Norge
1833,Rana,6,Nord-Norge
1834,Lurøy,6,Nord-Norge
1835,Træna,6,Nord-Norge
1836,Rødøy,6,Nord-Norge
1837,Meløy,6,Nord-Norge
1838,Gildeskål,6,Nord-Norge
1839,Beiarn,6,Nord-Norge
1840,Saltdal,6,Nord-Norge
1841,Fauske - Fuossko,6,Nord-Norge
1845,Sørfold,6,Nord-Norge
1848,Steigen,6,Nord-Norge
1851,Lødingen,6,Nord-Norge
1853,Evenes - Evená??i,6,Nord-Norge
1856,Røst,6,Nord-Norge
1857,Værøy,6,Nord-Norge
1859,Flakstad,6,Nord-Norge
1860,Vestvågøy,6,Nord-Norge
1865,Vågan,6,Nord-Norge
1866,Hadsel,6,Nord-Norge
1867,Bø,6,Nord-Norge
1868,Øksnes,6,Nord-Norge
1870,Sortland - Suortá,6,Nord-Norge
1871,Andøy,6,Nord-Norge
1874,Moskenes,6,Nord-Norge
1875,Hábmer - Hamarøy,6,Nord-Norge
3101,Halden,1,Oslo og Viken
3103,Moss,1,Oslo og Viken
3105,Sarpsborg,1,Oslo og Viken
3107,Fredrikstad,1,Oslo og Viken
3110,Hvaler,1,Oslo og Viken
3112,Råde,1,Oslo og Viken
3114,Våler (Østfold),1,Oslo og Viken
3116,Skiptvet,1,Oslo og Viken
3118,Indre Østfold,1,Oslo og Viken
3120,Rakkestad,1,Oslo og Viken
3122,Marker,1,Oslo og Viken
3124,Aremark,1,Oslo og Viken
3201,Bærum,1,Oslo og Viken
3203,Asker,1,Oslo og Viken
3205,Lillestrøm,1,Oslo og Viken
3207,Nordre Follo,1,Oslo og Viken
3209,Ullensaker,1,Oslo og Viken
3212,Nesodden,1,Oslo og Viken
3214,Frogn,1,Oslo og Viken
3216,Vestby,1,Oslo og Viken
3218,Ås,1,Oslo og Viken
3220,Enebakk,1,Oslo og Viken
3222,Lørenskog,1,Oslo og Viken
3224,Rælingen,1,Oslo og Viken
3226,Aurskog-Høland,1,Oslo og Viken
3228,Nes,1,Oslo og Viken
3230,Gjerdrum,1,Oslo og Viken
3232,Nittedal,1,Oslo og Viken
3234,Lunner,1,Oslo og Viken
3236,Jevnaker,1,Oslo og Viken
3238,Nannestad,1,Oslo og Viken
3240,Eidsvoll,1,Oslo og Viken
3242,Hurdal,1,Oslo og Viken
3301,Drammen,1,Oslo og Viken
3303,Kongsberg,1,Oslo og Viken
3305,Ringerike,1,Oslo og Viken
3310,Hole,1,Oslo og Viken
3312,Lier,1,Oslo og Viken
3314,Øvre Eiker,1,Oslo og Viken
3316,Modum,1,Oslo og Viken
3318,Krødsherad,1,Oslo og Viken
3320,Flå,1,Oslo og Viken
3322,Nesbyen,1,Oslo og Viken
3324,Gol,1,Oslo og Viken
3326,Hemsedal,1,Oslo og Viken
3328,Ål,1,Oslo og Viken
3330,Hol,1,Oslo og Viken
3332,Sigdal,1,Oslo og Viken
3334,Flesberg,1,Oslo og Viken
3336,Rollag,1,Oslo og Viken
3338,Nore og Uvdal,1,Oslo og Viken
3401,Kongsvinger,2,Innlandet
3403,Hamar,2,Innlandet
3405,Lillehammer,2,Innlandet
3407,Gjøvik,2,Innlandet
3411,Ringsaker,2,Innlandet
3412,Løten,2,Innlandet
3413,Stange,2,Innlandet
3414,Nord-Odal,2,Innlandet
3415,Sør-Odal,2,Innlandet
3416,Eidskog,2,Innlandet
3417,Grue,2,Innlandet
3418,Åsnes,2,Innlandet
3419,Våler (Innlandet),2,Innlandet
3420,Elverum,2,Innlandet
3421,Trysil,2,Innlandet
3422,Åmot,2,Innlandet
3423,Stor-Elvdal,2,Innlandet
3424,Rendalen,2,Innlandet
3425,Engerdal,2,Innlandet
3426,Tolga,2,Innlandet
3427,Tynset,2,Innlandet
3428,Alvdal,2,Innlandet
3429,Folldal,2,Innlandet
3430,Os,2,Innlandet
3431,Dovre,2,Innlandet
3432,Lesja,2,Innlandet
3433,Skjåk,2,Innlandet
3434,Lom,2,Innlandet
3435,Vågå,2,Innlandet
3436,Nord-Fron,2,Innlandet
3437,Sel,2,Innlandet
3438,Sør-Fron,2,Innlandet
3439,Ringebu,2,Innlandet
3440,Øyer,2,Innlandet
3441,Gausdal,2,Innlandet
3442,Østre Toten,2,Innlandet
3443,Vestre Toten,2,Innlandet
3446,Gran,2,Innlandet
3447,Søndre Land,2,Innlandet
3448,Nordre Land,2,Innlandet
3449,Sør-Aurdal,2,Innlandet
3450,Etnedal,2,Innlandet
3451,Nord-Aurdal,2,Innlandet
3452,Vestre Slidre,2,Innlandet
3453,Øystre Slidre,2,Innlandet
3454,Vang,2,Innlandet
3901,Horten,3,Agder og Sør-Østlandet
3903,Holmestrand,3,Agder og Sør-Østlandet
3905,Tønsberg,3,Agder og Sør-Østlandet
3907,Sandefjord,3,Agder og Sør-Østlandet
3909,Larvik,3,Agder og Sør-Østlandet
3911,Færder,3,Agder og Sør-Østlandet
4001,Porsgrunn,3,Agder og Sør-Østlandet
4003,Skien,3,Agder og Sør-Østlandet
4005,Notodden,3,Agder og Sør-Østlandet
4010,Siljan,3,Agder og Sør-Østlandet
4012,Bamble,3,Agder og Sør-Østlandet
4014,Kragerø,3,Agder og Sør-Østlandet
4016,Drangedal,3,Agder og Sør-Østlandet
4018,Nome,3,Agder og Sør-Østlandet
4020,Midt-Telemark,3,Agder og Sør-Østlandet
4022,Seljord,3,Agder og Sør-Østlandet
4024,Hjartdal,3,Agder og Sør-Østlandet
4026,Tinn,3,Agder og Sør-Østlandet
4028,Kviteseid,3,Agder og Sør-Østlandet
4030,Nissedal,3,Agder og Sør-Østlandet
4032,Fyresdal,3,Agder og Sør-Østlandet
4034,Tokke,3,Agder og Sør-Østlandet
4036,Vinje,3,Agder og Sør-Østlandet
4201,Risør,3,Agder og Sør-Østlandet
4202,Grimstad,3,Agder og Sør-Østlandet
4203,Arendal,3,Agder og Sør-Østlandet
4204,Kristiansand,3,Agder og Sør-Østlandet
4205,Lindesnes,3,Agder og Sør-Østlandet
4206,Farsund,3,Agder og Sør-Østlandet
4207,Flekkefjord,3,Agder og Sør-Østlandet
4211,Gjerstad,3,Agder og Sør-Østlandet
4212,Vegårshei,3,Agder og Sør-Østlandet
4213,Tvedestrand,3,Agder og Sør-Østlandet
4214,Froland,3,Agder og Sør-Østlandet
