kommunenr_2024,kommunenavn_2024,oek_regnr,oek_regnavn,validFrom
0301,Oslo,03001,Oslo,2024-01-01
1101,Eigersund,11001,Dalane,2024-01-01
1103,Stavanger,11002,Stavanger/Sandnes,2024-01-01
1106,Haugesund,11005,Haugaland,2024-01-01
1108,Sandnes,11002,Stavanger/Sandnes,2024-01-01
1111,Sokndal,11001,Dalane,2024-01-01
1112,Lund,11001,Dalane,2024-01-01
1114,Bjerkreim,11001,Dalane,2024-01-01
1119,Hå,11003,Jæren,2024-01-01
1120,Klepp,11003,Jæren,2024-01-01
1121,Time,11003,Jæren,2024-01-01
1122,Gjesdal,11003,Jæren,2024-01-01
1124,Sola,11003,Jæren,2024-01-01
1127,Randaberg,11003,Jæren,2024-01-01
1130,Strand,11003,Jæren,2024-01-01
1133,Hjelmeland,11004,Indre Ryfylke,2024-01-01
1134,Suldal,11004,Indre Ryfylke,2024-01-01
1135,Sauda,11004,Indre Ryfylke,2024-01-01
1144,Kvitsøy,11003,Jæren,2024-01-01
1145,Bokn,11005,Haugaland,2024-01-01
1146,Tysvær,11005,Haugaland,2024-01-01
1149,Karmøy,11005,Haugaland,2024-01-01
1151,Utsira,11005,Haugaland,2024-01-01
1160,Vindafjord,11005,Haugaland,2024-01-01
1505,Kristiansund,15006,Kristiansund,2024-01-01
1506,Molde,15005,Molde,2024-01-01
1508,Ålesund,15003,Ålesund,2024-01-01
1511,Vanylven,15002,Søre Sunnmøre,2024-01-01
1514,Sande,15002,Søre Sunnmøre,2024-01-01
1515,Herøy (Møre og Romsdal),15002,Søre Sunnmøre,2024-01-01
1516,Ulstein,15002,Søre Sunnmøre,2024-01-01
1517,Hareid,15002,Søre Sunnmøre,2024-01-01
1520,Ørsta,15001,Ørsta/Volda,2024-01-01
1525,Stranda,15004,Ålesund omland,2024-01-01
1528,Sykkylven,15004,Ålesund omland,2024-01-01
1531,Sula,15004,Ålesund omland,2024-01-01
1532,Giske,15004,Ålesund omland,2024-01-01
1535,Vestnes,15005,Molde,2024-01-01
1539,Rauma,15005,Molde,2024-01-01
1547,Aukra,15005,Molde,2024-01-01
1554,Averøy,15006,Kristiansund,2024-01-01
1557,Gjemnes,15005,Molde,2024-01-01
1560,Tingvoll,15006,Kristiansund,2024-01-01
1563,Sunndal,15007,Sunndal/Surnadal,2024-01-01
1566,Surnadal,15007,Sunndal/Surnadal,2024-01-01
1573,Smøla,15006,Kristiansund,2024-01-01
1576,Aure,15006,Kristiansund,2024-01-01
1577,Volda,15001,Ørsta/Volda,2024-01-01
1578,Fjord,15004,Ålesund omland,2024-01-01
1579,Hustadvika,15005,Molde,2024-01-01
1580,Haram,15004,Ålesund omland,2024-01-01
1804,Bodø,18005,Bodø,2024-01-01
1806,Narvik,18007,Ofoten,2024-01-01
1811,Bindal,18001,Brønnøysund,2024-01-01
1812,Sømna,18001,Brønnøysund,2024-01-01
1813,Brønnøy,18001,Brønnøysund,2024-01-01
1815,Vega,18001,Brønnøysund,2024-01-01
1816,Vevelstad,18001,Brønnøysund,2024-01-01
1818,Herøy (Nordland),18003,Sandnessjøen,2024-01-01
1820,Alstahaug,18003,Sandnessjøen,2024-01-01
1822,Leirfjord,18003,Sandnessjøen,2024-01-01
1824,Vefsn,18002,Mosjøen,2024-01-01
1825,Grane,18002,Mosjøen,2024-01-01
1826,Aarborte - Hattfjelldal,18002,Mosjøen,2024-01-01
